ลำดับ|ประเภท|กลุ่มอาชีพ|รหัส|ชื่อสายงาน|ชื่อตำแหน่งในสายงาน|ระดับ
187|ทั่วไป|4|44003|ปฏิบัติงานประมง|เจ้าพนักงานประมง|ปฏิบัติงาน-อาวุโส
188|ทั่วไป|4|44004|ปฏิบัติงานป่าไม้|เจ้าพนักงานป่าไม้|ปฏิบัติงาน-อาวุโส
189|ทั่วไป|4|44005|ปฏิบัติงานสัตวบาล|เจ้าพนักงานสัตวบาล|ปฏิบัติงาน-อาวุโส
190|ทั่วไป|5|45001|ปฏิบัติงานวิทยาศาสตร์|เจ้าพนักงานวิทยาศาสตร์|ปฏิบัติงาน-อาวุโส
191|ทั่วไป|5|45002|ปฏิบัติงานอุตุนิยมวิทยา|เจ้าพนักงานอุตุนิยมวิทยา|ปฏิบัติงาน-อาวุโส
192|ทั่วไป|5|45003|ปฏิบัติงานอุทกวิทยา|เจ้าพนักงานอุทกวิทยา|ปฏิบัติงาน-อาวุโส
193|ทั่วไป|6|46001|ปฏิบัติงานทันตสาธารณสุข|เจ้าพนักงานทันตสาธารณสุข|ปฏิบัติงาน-ชำนาญงาน
194|ทั่วไป|6|46002|ปฏิบัติงานเภสัชกรรม|เจ้าพนักงานเภสัชกรรม|ปฏิบัติงาน-ชำนาญงาน
195|ทั่วไป|6|46003|ปฏิบัติงานโภชนาการ|โภชนากร|ปฏิบัติงาน-อาวุโส
196|ทั่วไป|6|46004|ปฏิบัติงานรังสีการแพทย์|เจ้าพนักงานรังสีการแพทย์|ปฏิบัติงาน-ชำนาญงาน
197|ทั่วไป|6|46005|ปฏิบัติงานวิทยาศาสตร์การแพทย์|เจ้าพนักงานวิทยาศาสตร์การแพทย์|ปฏิบัติงาน-ชำนาญงาน
198|ทั่วไป|6|46006|ปฏิบัติงานเวชกรรมฟื้นฟู|เจ้าพนักงานเวชกรรมฟื้นฟู|ปฏิบัติงาน-ชำนาญงาน
199|ทั่วไป|6|46007|ปฏิบัติงานสาธารณสุข|เจ้าพนักงานสาธารณสุข|ปฏิบัติงาน-อาวุโส
200|ทั่วไป|6|46008|ปฏิบัติงานอาชีวบำบัด|เจ้าพนักงานอาชีวบำบัด|ปฏิบัติงาน-ชำนาญงาน
201|ทั่วไป|6|46009|พยาบาลเทคนิค|พยาบาลเทคนิค|ปฏิบัติงาน-ชำนาญงาน
202|ทั่วไป|6|46010|สัตวแพทย์|สัตวแพทย์|ปฏิบัติงาน-อาวุโส
203|ทั่วไป|7|47001|ช่างอาภรณ์|ช่างอาภรณ์|ปฏิบัติงาน-ชำนาญงาน
204|ทั่วไป|7|47002|ปฏิบัติงานช่างพิมพ์|นายช่างพิมพ์|ปฏิบัติงาน-อาวุโส
205|ทั่วไป|7|47003|ปฏิบัติงานช่างศิลป์|นายช่างศิลป์|ปฏิบัติงาน-อาวุโส
